amc_name,year,month,code,types_of_clients,no_of_investors,listed,unlisted,plain_debt,stru_debt,eq_derivative,mutual_funds,others,total
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,DISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,DISC,FII,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,DISC,GROSS DATA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,NONDISC,Individual Clients Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,NONDISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,NONDISC,Corporate Clients Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,NONDISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,NONDISC,FII,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,1,NONDISC,GROSS DATA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,DISC,Individual Clients Resident,13,4.62,0.0,1.04,0.0,0.0,0.37,0.16,6.19
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,DISC,Individual Clients Non Resident,3,2.7,0.0,0.0,0.0,0.0,0.0,0.12,2.82
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,DISC,Corporate Clients Resident,1,0.26,0.0,0.65,0.0,0.0,0.07,0.08,1.06
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,DISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,DISC,FII,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,DISC,GROSS DATA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,NONDISC,Individual Clients Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,NONDISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,NONDISC,Corporate Clients Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,NONDISC,Individual Clients Non Resident,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,NONDISC,FII,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,2,NONDISC,GROSS DATA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,DISC,Individual Clients Resident,12,4.08,0.0,0.65,0.0,0.0,0.41,0.15,5.29
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,DISC,Individual Clients Non Resident,3,2.75,0.0,0.0,0.0,0.0,0.0,0.14,2.89
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2013,12,DISC,Corporate Clients Resident,1,0.22,0.0,0.64,0.0,0.0,0.15,0.04,1.05
BANYAN CAPITAL ADVISORS PRIVATE LIMITED,2014,5,DISC,Individual Clients Resident,14,7.62,0.0,1.67,0.0,0.0,0.13,0.15,9.57
